eval/mean_reward,eval/mean_ep_length,time/total_timesteps,eval/mean_pos_reward,train/n_updates,eval/mean_quat_reward,train/actor_loss,train/ent_coef_loss,eval/mean_bonus_reward,train/learning_rate,train/critic_loss,train/ent_coef,eval/success_rate,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,time/episodes,rollout/ep_len_mean
21.19869779121713,50.0,25000,19.847066202216958,24899,34.277690499658355,-63.828983306884766,0.7532908916473389,0.0,0.0003,0.06029685586690903,0.008318754844367504,0.0,,,,,,
,,25000,,,,,,,,,,,65,20.538495920000006,0.0,382,500,50.0
22.850972593408077,50.0,50000,23.859116213355275,49899,35.1885686369154,-63.61601257324219,1.95755934715271,0.0,0.0003,0.08366362750530243,0.008589218370616436,0.0,,,,,,
,,50000,,,,,,,,,,,63,22.3124471,0.0,784,1000,50.0
25.771189720234833,50.0,75000,28.997849315753065,74899,38.19282701485389,-61.3787841796875,2.128342628479004,0.0,0.0003,0.1090208888053894,0.007637497503310442,0.0,,,,,,
,,75000,,,,,,,,,,,63,23.730114510000003,0.0,1185,1500,50.0
25.28471150664147,50.0,100000,27.576312669948255,99899,38.09626011646428,-61.036231994628906,0.5753146409988403,0.0,0.0003,0.10021843016147614,0.007075113244354725,0.0,,,,,,
,,100000,,,,,,,,,,,63,24.472745950000007,0.0,1576,2000,50.0
26.13551036552759,50.0,125000,28.577522349369904,124899,39.3257934761136,-60.74707794189453,1.521655559539795,0.0,0.0003,0.08569563180208206,0.006659853737801313,0.0,,,,,,
,,125000,,,,,,,,,,,63,25.635228079999997,0.0,1967,2500,50.0
26.179032205864786,50.0,150000,28.989048381927013,149899,39.13132478197961,-59.922027587890625,0.5200668573379517,0.0,0.0003,0.0959179699420929,0.0062341950833797455,0.0,,,,,,
,,150000,,,,,,,,,,,63,25.53548718,0.0,2357,3000,50.0
27.20956066062674,50.0,175000,30.635030150887143,174899,40.31111710610968,-60.72351837158203,1.8447456359863281,0.0,0.0003,0.0900367870926857,0.005970788188278675,0.0,,,,,,
,,175000,,,,,,,,,,,63,25.88573722,0.0,2750,3500,50.0
27.386545072365553,50.0,200000,30.048857246334048,199899,41.13434784397957,-61.04225540161133,1.3058922290802002,0.0,0.0003,0.08452290296554565,0.005775750614702702,0.0,,,,,,
,,200000,,,,,,,,,,,63,27.425528309999994,0.0,3143,4000,50.0
27.87106191262137,50.0,225000,32.29672518229692,224899,40.63619495840026,-61.14256286621094,-0.867397665977478,0.0,0.0003,0.08028975874185562,0.005640370771288872,0.0,,,,,,
,,225000,,,,,,,,,,,63,28.111875800000004,0.0,3530,4500,50.0
27.861237579453736,50.0,250000,32.30958854700673,249899,40.60455126120567,-61.36745834350586,-1.6731832027435303,0.0,0.0003,0.090201236307621,0.0054811518639326096,0.0,,,,,,
,,250000,,,,,,,,,,,63,26.794940209999996,0.0,3916,5000,50.0
27.20654499663098,50.0,275000,31.12978852157604,274899,39.95082529356864,-61.37627410888672,2.9798049926757812,0.0,0.0003,0.09563356637954712,0.005193443037569523,0.0,,,,,,
,,275000,,,,,,,,,,,63,27.48355474,0.0,4300,5500,50.0
27.815827889470384,50.0,300000,32.45796091858184,299899,40.394777360694626,-61.302825927734375,-0.2029237151145935,0.0,0.0003,0.10488516092300415,0.005057013593614101,0.0,,,,,,
,,300000,,,,,,,,,,,63,27.58830563,0.0,4694,6000,50.0
28.570334042438773,50.0,325000,33.51111875101315,324899,41.36139299585998,-61.51570129394531,-2.0895135402679443,0.01,0.0003,0.09420912712812424,0.004893338307738304,0.0,,,,,,
,,325000,,,,,,,,,,,63,26.62715572,0.0,5084,6500,50.0
28.49374317618087,50.0,350000,33.652088445087465,349899,41.09134976884838,-61.82185363769531,-0.4159098267555237,0.0,0.0003,0.08657993376255035,0.004864898510277271,0.0,,,,,,
,,350000,,,,,,,,,,,63,28.80388933,0.0,5474,7000,50.0
28.324222426905763,50.0,375000,34.0272178743722,374899,40.43592424927406,-62.044837951660156,-0.2256774604320526,0.0,0.0003,0.09177280962467194,0.004608172923326492,0.0,,,,,,
,,375000,,,,,,,,,,,63,27.611413199999998,0.0,5864,7500,50.0
29.034655559565874,50.0,400000,34.688483788039946,399899,41.57601003992831,-62.89308166503906,1.2725294828414917,0.02,0.0003,0.0803578794002533,0.0044320086017251015,0.0,,,,,,
,,400000,,,,,,,,,,,63,29.274438040000003,0.0,6256,8000,50.0
28.68404902330367,50.0,425000,34.87845328669151,424899,40.65035967654016,-62.28516387939453,1.8463170528411865,0.0,0.0003,0.06932443380355835,0.004338601604104042,0.0,,,,,,
,,425000,,,,,,,,,,,63,29.09359442,0.0,6649,8500,50.0
29.044425242170693,50.0,450000,34.63564510160558,449899,41.60179690761046,-62.498779296875,-0.5839786529541016,0.08,0.0003,0.09114886820316315,0.004191534128040075,0.0,,,,,,
,,450000,,,,,,,,,,,63,28.91420759,0.0,7044,9000,50.0
29.259205128923057,50.0,475000,35.13017587516866,474899,41.779486130873075,-62.54351043701172,0.20066487789154053,0.01,0.0003,0.07729193568229675,0.0041829366236925125,0.0,,,,,,
,,475000,,,,,,,,,,,63,28.92309708,0.0,7433,9500,50.0
29.61135010727099,50.0,500000,35.348273918197265,499899,42.43431887103643,-63.11351776123047,-0.9193806648254395,0.0,0.0003,0.07632331550121307,0.004089783411473036,0.0,,,,,,
,,500000,,,,,,,,,,,63,28.38011535,0.0,7828,10000,50.0
29.635509403124452,50.0,525000,36.07815175578556,524899,41.9681988207039,-63.383026123046875,0.4180276393890381,0.0,0.0003,0.06474161148071289,0.004003565758466721,0.0,,,,,,
,,525000,,,,,,,,,,,63,28.730473939999996,0.0,8223,10500,50.0
29.28229208290577,50.0,550000,36.15437034767333,549899,41.106403087399194,-63.64521026611328,0.6264410018920898,0.0,0.0003,0.06296684592962265,0.0038132190238684416,0.0,,,,,,
,,550000,,,,,,,,,,,63,29.557026969999995,0.0,8606,11000,50.0
29.45215945744887,50.0,575000,35.73481706281915,574899,41.78863800753982,-63.52271270751953,1.642340898513794,0.01,0.0003,0.0789261907339096,0.003812517039477825,0.0,,,,,,
,,575000,,,,,,,,,,,63,28.91254673,0.0,8990,11500,50.0
29.59486751124263,50.0,600000,36.43765516632128,599899,41.61851491880045,-63.896522521972656,-1.3411004543304443,0.0,0.0003,0.06745219230651855,0.0037444732151925564,0.0,,,,,,
,,600000,,,,,,,,,,,63,29.31908829,0.0,9377,12000,50.0
29.32709149704315,50.0,625000,35.96821134671512,624899,41.34177246162014,-64.3402099609375,-2.3449978828430176,0.0,0.0003,0.0652729943394661,0.0036689420230686665,0.0,,,,,,
,,625000,,,,,,,,,,,63,29.32035552,0.0,9768,12500,50.0
29.815655064582824,50.0,650000,36.175120919205895,649899,42.29926809844119,-64.30368041992188,-2.805051803588867,0.02,0.0003,0.06171456724405289,0.003698622342199087,0.0,,,,,,
,,650000,,,,,,,,,,,63,29.5700829,0.0,10157,13000,50.0
30.169989471521404,50.0,675000,36.46289167147641,674899,42.80648187092822,-64.697021484375,-1.3693759441375732,0.19,0.0003,0.06057898700237274,0.0036134952679276466,0.01,,,,,,
,,675000,,,,,,,,,,,64,29.59871438,0.01,10546,13500,50.0
30.089190906845033,50.0,700000,36.94410678673029,699899,42.38664583003768,-64.50428771972656,-3.800515651702881,0.0,0.0003,0.07775717973709106,0.003617515554651618,0.0,,,,,,
,,700000,,,,,,,,,,,64,29.95990281,0.0,10935,14000,50.0
29.698241304773838,50.0,725000,36.65106711656808,724899,41.702360782683115,-64.7498550415039,-0.5958420038223267,0.0,0.0003,0.05098260939121246,0.0034955425653606653,0.0,,,,,,
,,725000,,,,,,,,,,,64,30.56574768,0.0,11325,14500,50.0
30.200631390064956,50.0,750000,37.66630175897001,749899,42.125513339001365,-64.7828369140625,0.3545353412628174,0.0,0.0003,0.06131215766072273,0.003385957796126604,0.0,,,,,,
,,750000,,,,,,,,,,,64,30.22015453,0.0,11715,15000,50.0
30.275382547937333,50.0,775000,37.71211655130348,774899,42.25793396252155,-65.3629379272461,-0.3200414180755615,0.01,0.0003,0.041510194540023804,0.0033192818518728018,0.0,,,,,,
,,775000,,,,,,,,,,,64,29.194302229999998,0.0,12106,15500,50.0
29.752912878398785,50.0,800000,36.43166532012346,799899,41.92118279181483,-65.21749114990234,-0.5617884397506714,0.11,0.0003,0.055084098130464554,0.003294292837381363,0.01,,,,,,
,,800000,,,,,,,,,,,63,29.9413271,0.0,12503,16000,50.0
30.070172543510562,50.0,825000,36.74228453252205,824899,42.350191122776046,-65.57337951660156,-1.8402286767959595,0.24,0.0003,0.048505425453186035,0.0032810941338539124,0.01,,,,,,
,,825000,,,,,,,,,,,64,30.037349149999997,0.0,12890,16500,50.0
30.894512490257622,50.0,850000,38.41467481969209,849899,43.17697512749422,-64.92669677734375,3.208749771118164,0.0,0.0003,0.06679441779851913,0.003260468365624547,0.0,,,,,,
,,850000,,,,,,,,,,,63,29.517598450000005,0.0,13281,17000,50.0
30.42248576673679,50.0,875000,38.254989443228844,874899,42.20068928862632,-65.06566619873047,1.8279329538345337,0.02,0.0003,0.06628003716468811,0.0031651128083467484,0.0,,,,,,
,,875000,,,,,,,,,,,63,30.15657134,0.0,13677,17500,50.0
30.354246237315238,50.0,900000,38.363700185320035,899899,41.97277691867892,-65.78965759277344,-0.48605453968048096,0.01,0.0003,0.05191756784915924,0.0031074821017682552,0.0,,,,,,
,,900000,,,,,,,,,,,63,29.273410079999998,0.0,14073,18000,50.0
30.64769854499842,50.0,925000,38.18660567933663,924899,42.77573544527876,-65.57186889648438,-2.184182643890381,0.0,0.0003,0.06365320086479187,0.0031404190231114626,0.0,,,,,,
,,925000,,,,,,,,,,,63,29.79357213,0.0,14470,18500,50.0
30.360872168801723,50.0,950000,37.26590580490934,949899,42.772060793152306,-65.52098083496094,-1.4172172546386719,0.01,0.0003,0.058590956032276154,0.0031723170541226864,0.0,,,,,,
,,950000,,,,,,,,,,,63,30.699904289999996,0.0,14862,19000,50.0
30.428024623245,50.0,975000,37.976810616818554,974899,42.42347726368643,-65.6563491821289,2.550485610961914,0.0,0.0003,0.0545707643032074,0.0031223248224705458,0.0,,,,,,
,,975000,,,,,,,,,,,63,29.83760937000001,0.0,15247,19500,50.0
30.48460788346827,50.0,1000000,37.04065700924927,999899,43.22149161471619,-66.12553405761719,0.6983562111854553,0.0,0.0003,0.05523012578487396,0.0030657597817480564,0.0,,,,,,
,,1000000,,,,,,,,,,,63,30.352575310000002,0.0,15642,20000,50.0
30.223107819794677,50.0,1025000,36.82331004033057,1024899,42.77902497895498,-65.70441436767578,-0.31037187576293945,0.0,0.0003,0.06648571789264679,0.0029515475034713745,0.0,,,,,,
,,1025000,,,,,,,,,,,63,30.149063239999997,0.0,16042,20500,50.0
29.86042205132544,50.0,1050000,36.51288534662404,1049899,42.143189455850134,-66.20718383789062,1.5025336742401123,0.05,0.0003,0.048603616654872894,0.002787424949929118,0.0,,,,,,
,,1050000,,,,,,,,,,,63,30.97707842,0.0,16442,21000,50.0
29.93895850495668,50.0,1075000,36.67084515999739,1074899,42.07844430296678,-66.37592315673828,1.0588527917861938,0.27999999999999997,0.0003,0.05477924644947052,0.0027332024183124304,0.01,,,,,,
,,1075000,,,,,,,,,,,63,29.810550849999995,0.0,16830,21500,50.0
30.236240762728265,50.0,1100000,37.50019773509056,1099899,42.15983765506533,-66.2397689819336,2.8304693698883057,0.29,0.0003,0.04917223006486893,0.002588764764368534,0.01,,,,,,
,,1100000,,,,,,,,,,,63,30.217080829999997,0.0,17219,22000,50.0
30.995285511091353,50.0,1125000,38.82451921701112,1124899,43.11456741995253,-67.2126235961914,-2.452016592025757,0.0,0.0003,0.04375455155968666,0.0025696330703794956,0.0,,,,,,
,,1125000,,,,,,,,,,,63,30.206619,0.0,17605,22500,50.0
31.330272609144448,50.0,1150000,38.87906075158274,1149899,43.82986539374823,-66.9456558227539,-1.2563151121139526,0.02,0.0003,0.03787732124328613,0.002478549024090171,0.0,,,,,,
,,1150000,,,,,,,,,,,63,30.38472797,0.0,17989,23000,50.0
31.099264259710907,50.0,1175000,38.17963336343432,1174899,43.795723064609156,-67.00401306152344,-0.11956119537353516,0.03,0.0003,0.04199046641588211,0.0024466877803206444,0.0,,,,,,
,,1175000,,,,,,,,,,,63,30.77477835,0.01,18368,23500,50.0
31.170051964313025,50.0,1200000,38.57649618279,1199899,43.66262150045586,-66.79000091552734,3.439082622528076,0.05,0.0003,0.05181817337870598,0.002410407643765211,0.0,,,,,,
,,1200000,,,,,,,,,,,64,30.53614251,0.0,18749,24000,50.0
