train/ent_coef,train/actor_loss,eval/mean_ep_length,train/n_updates,train/ent_coef_loss,time/total_timesteps,train/critic_loss,eval/mean_pos_reward,eval/success_rate,train/learning_rate,eval/mean_quat_reward,eval/mean_bonus_reward,eval/mean_reward,time/episodes,time/fps,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,rollout/ep_rew_mean
0.003799062455072999,-59.24199295043945,50.0,24899,1.0741543769836426,25000,0.008104920387268066,37.70087723960204,0.0,0.0003,39.73982243748253,0.0,28.785394228845835,,,,,,
,,,,,25000,,,,,,,,500,149,50.0,0.0,167,28.482483400000007
0.00334914424456656,-61.43799591064453,50.0,49899,2.7842042446136475,50000,0.010057564824819565,40.10973168422417,0.0,0.0003,40.11112226915433,0.0,30.082646396309137,,,,,,
,,,,,50000,,,,,,,,1000,149,50.0,0.0,335,30.497333490000003
0.0024867751635611057,-64.63473510742188,50.0,74899,-2.2894017696380615,75000,0.008138885721564293,43.58269483868407,0.0,0.0003,42.806554087791824,0.0,32.492985954135655,,,,,,
,,,,,75000,,,,,,,,1500,148,50.0,0.0,503,31.680219159999996
0.0022698179818689823,-66.38121032714844,50.0,99899,-2.339653730392456,100000,0.007601477205753326,43.209357613929335,0.0,0.0003,42.13613496026512,0.0,32.138712554872036,,,,,,
,,,,,100000,,,,,,,,2000,148,50.0,0.0,672,32.33374737
0.0021481853909790516,-67.2159423828125,50.0,124899,-0.19331181049346924,125000,0.006226201541721821,43.464596783407686,0.0,0.0003,44.51336314153902,0.18,32.90563918277621,,,,,,
,,,,,125000,,,,,,,,2500,148,50.0,0.0,840,32.74951361
0.0022577240597456694,-68.93330383300781,50.0,149899,-1.9574400186538696,150000,0.008807528764009476,42.439521415920936,0.0,0.0003,44.388754485708084,0.0,32.31694932416082,,,,,,
,,,,,150000,,,,,,,,3000,148,50.0,0.0,1009,32.33506316
0.0019619674421846867,-69.07553100585938,50.0,174899,-2.0755252838134766,175000,0.008688761852681637,43.74537812196068,0.0,0.0003,44.76246916943919,0.0,33.06330636456609,,,,,,
,,,,,175000,,,,,,,,3500,148,50.0,0.0,1177,32.758124620000004
0.001916462671943009,-68.8709945678711,50.0,199899,0.29553478956222534,200000,0.007267598528414965,45.14671927946245,0.01,0.0003,44.667396505558386,0.36,33.83020874202251,,,,,,
,,,,,200000,,,,,,,,4000,148,50.0,0.01,1345,33.771571179999995
0.001828243606723845,-69.19343566894531,50.0,224899,0.708921492099762,225000,0.007111474871635437,45.865555718177184,0.0,0.0003,45.07095168998068,0.05,34.21301578849554,,,,,,
,,,,,225000,,,,,,,,4500,148,50.0,0.0,1514,33.742042770000005
0.0017593915108591318,-69.53528594970703,50.0,249899,1.5355300903320312,250000,0.0062413206323981285,46.023165347394894,0.02,0.0003,46.07511077528933,0.96,34.770360366404056,,,,,,
,,,,,250000,,,,,,,,5000,148,50.0,0.0,1684,33.82616189
0.0016585459234192967,-69.75188446044922,50.0,274899,0.7200484275817871,275000,0.004306977614760399,46.093856217062125,0.02,0.0003,45.448770496496856,0.72,34.58912074297667,,,,,,
,,,,,275000,,,,,,,,5500,148,50.0,0.0,1852,34.12911869999999
0.0015631840797141194,-69.80635070800781,50.0,299899,1.1604433059692383,300000,0.006330885924398899,45.62144739988785,0.01,0.0003,44.660852966400434,0.38,34.07093694299459,,,,,,
,,,,,300000,,,,,,,,6000,148,50.0,0.0,2021,33.999683950000005
0.0015545422211289406,-69.80320739746094,50.0,324899,2.1601626873016357,325000,0.004131816793233156,46.005467340390446,0.0,0.0003,45.40431245097991,0.22999999999999998,34.411311816573146,,,,,,
,,,,,325000,,,,,,,,6500,148,50.0,0.01,2188,34.18757961
0.0015436249086633325,-70.2753677368164,50.0,349899,2.9569921493530273,350000,0.004577102139592171,45.56525802088849,0.0,0.0003,45.24773818179633,0.13999999999999999,34.129563549160956,,,,,,
,,,,,350000,,,,,,,,7000,148,50.0,0.0,2355,34.23476284
0.0015137215377762914,-70.4814453125,50.0,374899,0.8122408390045166,375000,0.004422876983880997,46.21161896416851,0.01,0.0003,45.412967679936486,0.48,34.579051428735255,,,,,,
,,,,,375000,,,,,,,,7500,148,50.0,0.0,2521,34.454268750000004
0.0015147830126807094,-70.70575714111328,50.0,399899,-0.014322102069854736,400000,0.003279666882008314,46.245101961104034,0.02,0.0003,45.60090005410351,0.91,34.750275993049144,,,,,,
,,,,,400000,,,,,,,,8000,148,50.0,0.02,2688,34.266192399999994
0.0015076410491019487,-70.74900817871094,50.0,424899,3.207396984100342,425000,0.003336802124977112,46.18479188697175,0.03,0.0003,45.79025265149865,1.37,34.882459098398684,,,,,,
,,,,,425000,,,,,,,,8500,148,50.0,0.0,2854,34.55051871
0.001510639674961567,-70.95437622070312,50.0,449899,2.4375929832458496,450000,0.006199317052960396,46.237793980515065,0.02,0.0003,45.14817912808585,0.83,34.613441763818265,,,,,,
,,,,,450000,,,,,,,,9000,149,50.0,0.03,3019,34.54877383
0.0015026559121906757,-71.02760314941406,50.0,474899,-1.9568278789520264,475000,0.0035233795642852783,46.31508258609583,0.07,0.0003,46.24482180708458,2.7,35.3937467379868,,,,,,
,,,,,475000,,,,,,,,9500,149,50.0,0.02,3185,34.741736700000004
0.0015533840050920844,-71.23662567138672,50.0,499899,0.6885073781013489,500000,0.0031865949276834726,46.681513513555004,0.01,0.0003,45.866209956941425,0.41000000000000003,34.909809224009514,,,,,,
,,,,,500000,,,,,,,,10000,149,50.0,0.03,3352,34.46016995
0.001468030153773725,-71.41912841796875,50.0,524899,1.3261425495147705,525000,0.004431102424860001,46.80109804095539,0.01,0.0003,46.32136599701263,0.41000000000000003,35.08339050784707,,,,,,
,,,,,525000,,,,,,,,10500,149,50.0,0.03,3519,34.82923813
0.001413805177435279,-71.3402328491211,50.0,549899,-3.09989857673645,550000,0.0035556000657379627,47.0896713467446,0.12,0.0003,46.61931051699799,4.77,36.392163289487364,,,,,,
,,,,,550000,,,,,,,,11000,149,50.0,0.03,3685,34.751352190000006
0.0014149725902825594,-71.66642761230469,50.0,574899,-2.7258048057556152,575000,0.004069115966558456,47.028054569103844,0.1,0.0003,46.380608621322104,3.58,36.00417944118381,,,,,,
,,,,,575000,,,,,,,,11500,149,50.0,0.03,3851,34.716426260000006
0.001385998446494341,-71.60237121582031,50.0,599899,-0.21891838312149048,600000,0.007386916782706976,46.96732201067023,0.05,0.0003,46.865377209784434,2.1399999999999997,35.73500530511141,,,,,,
,,,,,600000,,,,,,,,12000,149,50.0,0.01,4016,35.07724923999999
0.001350298640318215,-71.73912048339844,50.0,624899,0.9033496379852295,625000,0.0030426480807363987,46.77450705281506,0.03,0.0003,45.97996926653441,0.95,35.11974585607648,,,,,,
,,,,,625000,,,,,,,,12500,149,50.0,0.06,4181,35.305072700000004
0.001341755734756589,-71.73873901367188,50.0,649899,0.839043140411377,650000,0.004840580280870199,47.10457194586511,0.11,0.0003,46.15365753385655,4.36,36.18070035740733,,,,,,
,,,,,650000,,,,,,,,13000,149,50.0,0.0,4345,35.16245183
0.001325424644164741,-71.76998901367188,50.0,674899,0.1560632884502411,675000,0.0035269216168671846,46.891377713125564,0.09,0.0003,45.96687075128656,3.2300000000000004,35.74490651771426,,,,,,
,,,,,675000,,,,,,,,13500,149,50.0,0.06,4510,35.23747448
0.0013263679575175047,-72.0381088256836,50.0,699899,-0.2888599634170532,700000,0.0031203061807900667,47.027208702488274,0.08,0.0003,46.521833454556436,3.11,35.92156272813678,,,,,,
,,,,,700000,,,,,,,,14000,149,50.0,0.04,4676,35.2341793
0.001381922629661858,-72.04399108886719,50.0,724899,-0.5479379892349243,725000,0.004430616274476051,47.071815662609964,0.08,0.0003,46.559580803942836,2.92,35.90580300912261,,,,,,
,,,,,725000,,,,,,,,14500,149,50.0,0.09,4843,35.393261869999996
0.0013710677158087492,-72.42509460449219,50.0,749899,-1.478833556175232,750000,0.0052033704705536366,46.83548861162617,0.07,0.0003,45.827533206214405,2.78,35.56962760284543,,,,,,
,,,,,750000,,,,,,,,15000,149,50.0,0.03,5008,35.311167489999995
0.0013655765214934945,-72.14989471435547,50.0,774899,-3.4224014282226562,775000,0.00273580732755363,47.218018669415216,0.1,0.0003,46.752786475883276,4.24,36.357205947041514,,,,,,
,,,,,775000,,,,,,,,15500,149,50.0,0.07,5174,35.35356787
0.001357533852569759,-72.33558654785156,50.0,799899,1.347557783126831,800000,0.003901249263435602,47.12526483384965,0.1,0.0003,46.24468281955881,3.75,36.061303126513955,,,,,,
,,,,,800000,,,,,,,,16000,149,50.0,0.03,5339,35.606343790000004
0.0013989920262247324,-72.59552001953125,50.0,824899,0.6735056638717651,825000,0.004033998586237431,47.45930578005362,0.17,0.0003,46.32657744996676,6.78,37.0062972509861,,,,,,
,,,,,825000,,,,,,,,16500,149,50.0,0.08,5506,35.97915099
0.0014737218152731657,-72.690673828125,50.0,849899,0.42847752571105957,850000,0.00609408225864172,47.40623645637406,0.16,0.0003,46.75031771588657,6.0,36.89069763109088,,,,,,
,,,,,850000,,,,,,,,17000,149,50.0,0.12,5672,35.906194000000006
0.0015221574576571584,-72.91331481933594,50.0,874899,1.6330044269561768,875000,0.003128274343907833,47.252220751006895,0.19,0.0003,46.69168622215532,7.28,37.11903194442392,,,,,,
,,,,,875000,,,,,,,,17500,149,50.0,0.08,5839,36.51027123000001
0.0015937406569719315,-73.02214813232422,50.0,899899,1.3276973962783813,900000,0.003286017570644617,47.485402811353595,0.24,0.0003,46.859941398116625,9.27,37.77518673434854,,,,,,
,,,,,900000,,,,,,,,18000,149,50.0,0.17,6005,36.830312719999995
0.0016714155208319426,-73.49763488769531,50.0,924899,0.12747341394424438,925000,0.008056391961872578,47.50461002813569,0.23,0.0003,46.68469270203502,8.42,37.528478190153834,,,,,,
,,,,,925000,,,,,,,,18500,149,50.0,0.14,6171,36.200305439999994
0.001727367052808404,-73.54141998291016,50.0,949899,0.8549749851226807,950000,0.005003218539059162,47.637997053707295,0.28,0.0003,46.72893687509073,10.48,38.121232752203944,,,,,,
,,,,,950000,,,,,,,,19000,149,50.0,0.19,6338,36.81404709
0.0016727109905332327,-73.49929809570312,50.0,974899,0.24788248538970947,975000,0.0049763889983296394,47.422812415325545,0.21,0.0003,46.564076910751304,8.459999999999999,37.467425430566074,,,,,,
,,,,,975000,,,,,,,,19500,149,50.0,0.08,6505,36.057207129999995
0.0017844344256445765,-73.9537353515625,50.0,999899,1.2177672386169434,1000000,0.006187256425619125,47.61688730954576,0.37,0.0003,46.699839141398236,14.360000000000001,39.073403442651035,,,,,,
,,,,,1000000,,,,,,,,20000,149,50.0,0.12,6672,36.47840265
0.0017878582002595067,-74.25377655029297,50.0,1024899,-1.6906676292419434,1025000,0.004826949443668127,47.34163172639415,0.25,0.0003,46.80061693201609,8.459999999999999,37.4859700872004,,,,,,
,,,,,1025000,,,,,,,,20500,149,50.0,0.18,6838,36.72196214
0.0018375868676230311,-74.24109649658203,50.0,1049899,-1.9114301204681396,1050000,0.0055902013555169106,47.45540125271893,0.28,0.0003,46.84387458031633,10.8,38.13866926655173,,,,,,
,,,,,1050000,,,,,,,,21000,149,50.0,0.12,7005,37.00799543000001
0.0017930977046489716,-74.75476837158203,50.0,1074899,1.3750011920928955,1075000,0.006349165458232164,47.52338241014735,0.3,0.0003,46.58122408970355,11.09,38.17949722930789,,,,,,
,,,,,1075000,,,,,,,,21500,149,50.0,0.1,7172,36.69831963000001
0.0018511144444346428,-74.89563751220703,50.0,1099899,-1.7965004444122314,1100000,0.006283169612288475,47.42360055926302,0.3,0.0003,47.03753747212057,10.77,38.163684650957585,,,,,,
,,,,,1100000,,,,,,,,22000,149,50.0,0.19,7339,36.49074255000001
0.0019410904496908188,-75.12269592285156,50.0,1124899,-0.6192216873168945,1125000,0.006472546141594648,47.65342269835857,0.32,0.0003,46.8082070003954,12.72,38.708763104230165,,,,,,
,,,,,1125000,,,,,,,,22500,149,50.0,0.18,7504,37.183760299999996
0.0019764378666877747,-75.22429656982422,50.0,1149899,-0.7997773289680481,1150000,0.007320573553442955,47.44507766955001,0.26,0.0003,46.630027744488906,10.2,37.930045786499974,,,,,,
,,,,,1150000,,,,,,,,23000,149,50.0,0.2,7670,37.36380234999999
0.0019329917849972844,-75.41373443603516,50.0,1174899,0.0051305294036865234,1175000,0.005509218201041222,47.300534899175744,0.2,0.0003,46.867886098090764,8.07,37.384738969802854,,,,,,
,,,,,1175000,,,,,,,,23500,149,50.0,0.14,7835,36.81806067
0.001967016374692321,-75.37031555175781,50.0,1199899,-0.14545708894729614,1200000,0.00885460339486599,47.54405972855167,0.3,0.0003,46.656969604903615,10.91,38.163772276490924,,,,,,
,,,,,1200000,,,,,,,,24000,149,50.0,0.17,8001,37.01873069
0.0019574016332626343,-75.73002624511719,50.0,1224899,0.877560019493103,1225000,0.008052476681768894,47.16443472202682,0.24,0.0003,46.916151164318386,8.959999999999999,37.551255157142876,,,,,,
,,,,,1225000,,,,,,,,24500,149,50.0,0.17,8167,36.898274470000004
0.0020270845852792263,-75.69093322753906,50.0,1249899,0.5427279472351074,1250000,0.008779680356383324,47.309822771110504,0.33,0.0003,46.8265655838678,12.690000000000001,38.53405278712511,,,,,,
,,,,,1250000,,,,,,,,25000,150,50.0,0.2,8333,37.38346874
0.0021303363610059023,-76.02609252929688,50.0,1274899,-0.835756778717041,1275000,0.007763899862766266,47.540801796092275,0.43,0.0003,47.077363040966105,16.03,39.54724164485931,,,,,,
,,,,,1275000,,,,,,,,25500,150,50.0,0.22,8498,37.42932205
0.002212139079347253,-75.92039489746094,50.0,1299899,2.4472248554229736,1300000,0.008298804983496666,47.51200311806006,0.28,0.0003,46.99552945567982,10.13,38.03738391637802,,,,,,
,,,,,1300000,,,,,,,,26000,150,50.0,0.3,8663,37.66033354
0.0023270670790225267,-76.40982055664062,50.0,1324899,-0.6383661031723022,1325000,0.010316549800336361,47.73633058892657,0.44,0.0003,46.74180529427427,16.64,39.713616607487204,,,,,,
,,,,,1325000,,,,,,,,26500,150,50.0,0.22,8828,37.53372586
0.0024799827951937914,-76.31755065917969,50.0,1349899,-1.4783071279525757,1350000,0.008899237029254436,47.635696826530186,0.37,0.0003,46.89722496326856,12.379999999999999,38.637154637426136,,,,,,
,,,,,1350000,,,,,,,,27000,150,50.0,0.3,8993,37.86000869
0.002586871851235628,-76.44139099121094,50.0,1374899,-1.4995546340942383,1375000,0.010588660836219788,47.844235547725624,0.43,0.0003,46.86388444256416,16.31,39.715588900595904,,,,,,
,,,,,1375000,,,,,,,,27500,150,50.0,0.21,9159,37.71121415
0.0026859580539166927,-77.31375122070312,50.0,1399899,0.243668794631958,1400000,0.011491723358631134,47.88363406169631,0.57,0.0003,46.93294313259408,21.07,40.942552805095914,,,,,,
,,,,,1400000,,,,,,,,28000,150,50.0,0.28,9324,38.519196269999995
