eval/mean_ep_length,train/n_updates,train/learning_rate,train/critic_loss,eval/mean_reward,time/total_timesteps,train/ent_coef,eval/success_rate,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,rollout/success_rate,rollout/ep_len_mean
50.0,24899,0.0003,0.006813090294599533,45.790079040527345,25000,0.0036470184568315744,0.0,-74.55528259277344,1.4577475786209106,,,,,,
,,,,,25000,,,,,45.57654214,156,159,500,0.0,50.0
50.0,49899,0.0003,0.00800054520368576,46.62394688844681,50000,0.0032937664072960615,0.0,-90.08029174804688,1.9723126888275146,,,,,,
,,,,,50000,,,,,45.92809681,156,319,1000,0.0,50.0
50.0,74899,0.0003,0.006548765581101179,46.711005373597146,75000,0.0025810846127569675,0.0,-94.66309356689453,-2.633070707321167,,,,,,
,,,,,75000,,,,,47.21150255,158,474,1500,0.0,50.0
50.0,99899,0.0003,0.009108809754252434,46.69201665461063,100000,0.002810386009514332,0.0,-95.76344299316406,0.38198330998420715,,,,,,
,,,,,100000,,,,,46.920428279999996,157,635,2000,0.0,50.0
50.0,124899,0.0003,0.007003945764154196,46.80248636424542,125000,0.002679032739251852,0.0,-96.2315673828125,0.16493159532546997,,,,,,
,,,,,125000,,,,,46.812729739999995,155,802,2500,0.0,50.0
50.0,149899,0.0003,0.00864338967949152,46.85105244338512,150000,0.0026078198570758104,0.0,-96.18373107910156,0.3936677575111389,,,,,,
,,,,,150000,,,,,47.07725026000001,152,980,3000,0.0,50.0
50.0,174899,0.0003,0.00812660064548254,47.69543882787227,175000,0.0024356923531740904,0.0,-96.45415496826172,-1.0109777450561523,,,,,,
,,,,,175000,,,,,47.41856557,149,1173,3500,0.0,50.0
50.0,199899,0.0003,0.0053286124020814896,47.71436152279377,200000,0.0022923967335373163,0.0,-97.12966918945312,-1.1243586540222168,,,,,,
,,,,,200000,,,,,47.50578614,146,1366,4000,0.0,50.0
50.0,224899,0.0003,0.006832510232925415,47.84507690250874,225000,0.00206377194263041,0.0,-97.06580352783203,0.8427389860153198,,,,,,
,,,,,225000,,,,,47.55437144,143,1562,4500,0.0,50.0
50.0,249899,0.0003,0.004956044722348452,47.7821487891674,250000,0.0020718129817396402,0.0,-97.13404846191406,-0.22130310535430908,,,,,,
,,,,,250000,,,,,47.60326816,142,1759,5000,0.0,50.0
50.0,274899,0.0003,0.006745467893779278,47.79898399710655,275000,0.0018904231255874038,0.0,-97.31437683105469,-2.351381301879883,,,,,,
,,,,,275000,,,,,47.57774255,138,1978,5500,0.0,50.0
50.0,299899,0.0003,0.005112718790769577,47.753919900655745,300000,0.0019505226518958807,0.0,-97.11763763427734,1.4243779182434082,,,,,,
,,,,,300000,,,,,47.541129530000006,137,2174,6000,0.0,50.0
50.0,324899,0.0003,0.004611180629581213,47.84124777376652,325000,0.0019265100127086043,0.0,-97.53475952148438,0.4232751727104187,,,,,,
,,,,,325000,,,,,48.09765045,137,2358,6500,0.0,50.0
50.0,349899,0.0003,0.006147103384137154,47.895734610557554,350000,0.001828464213758707,0.0,-97.88081359863281,0.4093819856643677,,,,,,
,,,,,350000,,,,,47.959522430000014,137,2554,7000,0.0,50.0
50.0,374899,0.0003,0.006172459572553635,47.79045210778713,375000,0.0019415522692725062,0.0,-97.61239624023438,-1.1509456634521484,,,,,,
,,,,,375000,,,,,47.70222051,136,2749,7500,0.0,50.0
50.0,399899,0.0003,0.0037819533608853817,47.893505129814145,400000,0.001839642645791173,0.0,-98.12135314941406,-1.2999978065490723,,,,,,
,,,,,400000,,,,,48.081952490000006,135,2942,8000,0.0,50.0
50.0,424899,0.0003,0.00395840872079134,48.367325835227966,425000,0.0017582692671567202,0.0,-98.02713012695312,1.0175508260726929,,,,,,
,,,,,425000,,,,,48.12508437,135,3134,8500,0.0,50.0
50.0,449899,0.0003,0.005946601275354624,48.293169174790386,450000,0.001769947586581111,0.0,-98.1963119506836,0.029744863510131836,,,,,,
,,,,,450000,,,,,48.27861818,135,3327,9000,0.0,50.0
50.0,474899,0.0003,0.005121110938489437,48.018502757549285,475000,0.00171099160797894,0.0,-98.38284301757812,-1.8406140804290771,,,,,,
,,,,,475000,,,,,47.92956574,134,3522,9500,0.0,50.0
50.0,499899,0.0003,0.004341340623795986,48.29038249671459,500000,0.0016488154651597142,0.0,-98.28434753417969,2.1234030723571777,,,,,,
