train/n_updates,train/critic_loss,train/ent_coef,train/learning_rate,train/actor_loss,train/ent_coef_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate,time/total_timesteps,rollout/success_rate,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/fps,time/time_elapsed
24899,0.02705533802509308,0.006666332017630339,0.0003,-66.67542266845703,1.0407732725143433,40.62938443899154,50.0,0.16,25000,,,,,,
,,,,,,,,,25000,0.15000000596046448,37.79116155,500,50.0,110,226
49899,0.026135409250855446,0.004527318757027388,0.0003,-80.00975036621094,-0.8319833278656006,42.20227427780628,50.0,0.39,50000,,,,,,
,,,,,,,,,50000,0.27000001072883606,41.35808235,1000,50.0,102,486
74899,0.01762213371694088,0.0038774057757109404,0.0003,-86.09880065917969,-1.7663589715957642,43.18454661563039,50.0,0.6,75000,,,,,,
,,,,,,,,,75000,0.49000000953674316,42.74119573,1500,50.0,93,804
99899,0.01809542253613472,0.0034274731297045946,0.0003,-88.20094299316406,0.23909598588943481,43.79448511734605,50.0,0.63,100000,,,,,,
,,,,,,,,,100000,0.6499999761581421,43.80375798,2000,50.0,89,1122
124899,0.015675846487283707,0.003320768242701888,0.0003,-89.67649841308594,0.7945729494094849,44.7913890953362,50.0,0.78,125000,,,,,,
,,,,,,,,,125000,0.6899999976158142,44.11147242,2500,50.0,86,1441
149899,0.01886666566133499,0.0033440105617046356,0.0003,-90.67273712158203,1.0223066806793213,44.695492174476385,50.0,0.77,150000,,,,,,
,,,,,,,,,150000,0.6899999976158142,44.36781975000001,3000,50.0,85,1762
174899,0.012510251253843307,0.0032014434691518545,0.0003,-91.49143981933594,-1.296090841293335,45.27330709338188,50.0,0.88,175000,,,,,,
,,,,,,,,,175000,0.7900000214576721,44.56899904000001,3500,50.0,83,2087
199899,0.011765345931053162,0.0032240073196589947,0.0003,-91.76409912109375,-2.1941447257995605,45.117474169386554,50.0,0.86,200000,,,,,,
,,,,,,,,,200000,0.7900000214576721,44.540672169999986,4000,50.0,82,2410
224899,0.009812708012759686,0.003105226205661893,0.0003,-91.9400634765625,0.3478739261627197,45.523857283890244,50.0,0.86,225000,,,,,,
,,,,,,,,,225000,0.8700000047683716,45.12336048,4500,50.0,82,2733
