train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates,eval/success_rate,train/ent_coef,eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/ent_coef_loss,time/episodes,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/success_rate
-87.97804260253906,0.0003,0.03697771206498146,24899,0.0,0.007879073731601238,50.0,25000,43.40010726034641,1.3060121536254883,,,,,,
,,,,,,,25000,,,500,50.0,80,44.05758977000001,312,0.0
-98.86740112304688,0.0003,0.03097670152783394,49899,0.0,0.006446625106036663,50.0,50000,44.091052716970445,0.5388253927230835,,,,,,
,,,,,,,50000,,,1000,50.0,79,45.28924309000001,631,0.0
-108.63218688964844,0.0003,0.07607263326644897,74899,0.0,0.008504065684974194,50.0,75000,45.566607829332355,3.067640781402588,,,,,,
,,,,,,,75000,,,1500,50.0,78,45.678561390000006,953,0.0
-107.44547271728516,0.0003,0.06454293429851532,99899,0.0,0.005192957818508148,50.0,100000,46.62204337477684,0.8062077760696411,,,,,,
,,,,,,,100000,,,2000,50.0,78,46.46060607000001,1280,0.0
-103.13279724121094,0.0003,0.038421712815761566,124899,0.0,0.004800759721547365,50.0,125000,47.38582815051079,0.11317162215709686,,,,,,
,,,,,,,125000,,,2500,50.0,77,47.33186001000001,1603,0.0
-103.13771057128906,0.0003,0.035755567252635956,149899,0.0,0.004011318553239107,50.0,150000,48.15881327331066,0.05823969841003418,,,,,,
,,,,,,,150000,,,3000,50.0,77,47.88366549000001,1927,0.0
-101.16705322265625,0.0003,0.023247916251420975,174899,0.0,0.0032730125822126865,50.0,175000,47.781346595287324,1.9372124671936035,,,,,,
,,,,,,,175000,,,3500,50.0,77,48.12593948,2251,0.0
-99.97871398925781,0.0003,0.020468972623348236,199899,0.0,0.002803035778924823,50.0,200000,48.090652721524236,-3.3654403686523438,,,,,,
,,,,,,,200000,,,4000,50.0,77,47.86336663,2576,0.0
-99.59380340576172,0.0003,0.01935182884335518,224899,0.0,0.0025703562423586845,50.0,225000,48.402962015271186,-2.335132122039795,,,,,,
,,,,,,,225000,,,4500,50.0,77,48.15870218,2901,0.0
-99.49514770507812,0.0003,0.017969224601984024,249899,0.0,0.002338227815926075,50.0,250000,47.71117678284645,0.23392534255981445,,,,,,
,,,,,,,250000,,,5000,50.0,77,48.232666850000015,3228,0.0
-99.98899841308594,0.0003,0.020727595314383507,274899,0.0,0.0023360156919807196,50.0,275000,48.122825825214385,1.135801076889038,,,,,,
,,,,,,,275000,,,5500,50.0,77,48.109102410000006,3551,0.0
-99.67960357666016,0.0003,0.013599232770502567,299899,0.0,0.0022181780077517033,50.0,300000,48.34045012652874,2.138667106628418,,,,,,
,,,,,,,300000,,,6000,50.0,77,48.52724029,3876,0.0
-99.59054565429688,0.0003,0.013678319752216339,324899,0.0,0.0021255137398838997,50.0,325000,48.460091665387154,-1.3606566190719604,,,,,,
,,,,,,,325000,,,6500,50.0,77,48.358169030000006,4201,0.0
-99.3838882446289,0.0003,0.012055225670337677,349899,0.0,0.0018918407149612904,50.0,350000,48.548640354275705,-3.313645839691162,,,,,,
,,,,,,,350000,,,7000,50.0,77,48.591300479999994,4525,0.0
-99.39185333251953,0.0003,0.01137765683233738,374899,0.0,0.0017787824617698789,50.0,375000,48.57459564089775,2.669172763824463,,,,,,
,,,,,,,375000,,,7500,50.0,77,48.578569779999995,4849,0.0
-99.32904815673828,0.0003,0.011874860152602196,399899,0.0,0.001796663156710565,50.0,400000,48.59482865273952,-1.1814398765563965,,,,,,
,,,,,,,400000,,,8000,50.0,77,48.92406288,5173,0.0
-99.5742416381836,0.0003,0.011731537990272045,424899,0.0,0.0016692036297172308,50.0,425000,48.50664704203606,1.7477998733520508,,,,,,
,,,,,,,425000,,,8500,50.0,77,48.61639642,5498,0.0
-99.26581573486328,0.0003,0.011440634727478027,449899,0.0,0.0015948156360536814,50.0,450000,48.64478064954281,0.9650892019271851,,,,,,
,,,,,,,450000,,,9000,50.0,77,48.73760485,5823,0.0
-99.57244873046875,0.0003,0.010056782513856888,474899,0.0,0.0015048442874103785,50.0,475000,48.709583292007444,2.738281726837158,,,,,,
,,,,,,,475000,,,9500,50.0,77,48.57459983999999,6149,0.0
-99.57887268066406,0.0003,0.01058964803814888,499899,0.0,0.0013661178527399898,50.0,500000,48.65843893647194,4.798867225646973,,,,,,
,,,,,,,500000,,,10000,50.0,77,48.686501289999995,6474,0.0
-99.47148895263672,0.0003,0.010350044816732407,524899,0.0,0.0013992994790896773,50.0,525000,48.9106157553196,0.326698362827301,,,,,,
,,,,,,,525000,,,10500,50.0,77,48.78191576999998,6800,0.0
-99.58924865722656,0.0003,0.007490411400794983,549899,0.0,0.0012813854264095426,50.0,550000,48.69625737428665,-3.098015785217285,,,,,,
,,,,,,,550000,,,11000,50.0,77,48.741507799999994,7123,0.0
-99.73126983642578,0.0003,0.006094899028539658,574899,0.0,0.0013295772951096296,50.0,575000,48.94689899384976,-0.6294437050819397,,,,,,
,,,,,,,575000,,,11500,50.0,77,48.793089280000004,7446,0.0
-99.85025787353516,0.0003,0.013799204491078854,599899,0.0,0.0012648890260607004,50.0,600000,48.86073117792606,2.7403581142425537,,,,,,
,,,,,,,600000,,,12000,50.0,77,48.77712176,7770,0.0
-99.8508529663086,0.0003,0.00638823676854372,624899,0.0,0.0012024783063679934,50.0,625000,48.711772730350496,4.667115211486816,,,,,,
,,,,,,,625000,,,12500,50.0,77,48.87857292999999,8095,0.0
-99.7794418334961,0.0003,0.004860164597630501,649899,0.0,0.0011562483850866556,50.0,650000,48.85874387800693,0.4056994318962097,,,,,,
,,,,,,,650000,,,13000,50.0,77,48.83307039,8420,0.0
-99.75442504882812,0.0003,0.006795094348490238,674899,0.0,0.0011602453887462616,50.0,675000,48.87828869462013,0.32067275047302246,,,,,,
,,,,,,,675000,,,13500,50.0,77,48.879924550000005,8745,0.0
-99.5726547241211,0.0003,0.010373581200838089,699899,0.0,0.001149248331785202,50.0,700000,48.897373051047325,5.826943397521973,,,,,,
,,,,,,,700000,,,14000,50.0,77,48.83990489,9067,0.0
-99.64364624023438,0.0003,0.007080433424562216,724899,0.0,0.0010693278163671494,50.0,725000,48.828582026958465,0.6091456413269043,,,,,,
,,,,,,,725000,,,14500,50.0,77,48.76535853,9390,0.0
-99.69769287109375,0.0003,0.00591242266818881,749899,0.0,0.00106904492713511,50.0,750000,48.880447360277174,-5.681312561035156,,,,,,
,,,,,,,750000,,,15000,50.0,77,48.856454019999994,9713,0.0
-99.58525085449219,0.0003,0.00787435844540596,774899,0.0,0.00099747977219522,50.0,775000,48.80971212148666,4.65794563293457,,,,,,
