time/total_timesteps,train/ent_coef,train/n_updates,eval/mean_reward,train/actor_loss,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,train/critic_loss,eval/success_rate,time/episodes,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate
25000,0.016651922836899757,24899,17.617598687630235,-82.1824951171875,0.15514877438545227,0.0003,50.0,0.3323674499988556,0.0,,,,,,
25000,,,,,,,,,,500,50.0,125,199,16.464244530000002,0.0
50000,0.019180210307240486,49899,19.42426281948574,-87.77228546142578,0.7142927050590515,0.0003,50.0,0.6478819847106934,0.01,,,,,,
50000,,,,,,,,,,1000,50.0,123,405,20.5952252,0.0
75000,0.021944276988506317,74899,17.78101800230026,-83.64799499511719,-0.05858039855957031,0.0003,50.0,0.9192206859588623,0.0,,,,,,
75000,,,,,,,,,,1500,50.0,122,610,20.023747020000002,0.009999999776482582
100000,0.023301301524043083,99899,24.239922352781615,-77.12898254394531,-0.8304654359817505,0.0003,50.0,1.4817922115325928,0.0,,,,,,
100000,,,,,,,,,,2000,50.0,122,817,20.20885345,0.0
125000,0.021694425493478775,124899,17.016996068267655,-76.2833023071289,-2.1158175468444824,0.0003,50.0,1.6626036167144775,0.0,,,,,,
125000,,,,,,,,,,2500,50.0,122,1024,28.22746724,0.0
150000,0.0226809773594141,149899,26.846026147776282,-70.51646423339844,-1.7236576080322266,0.0003,50.0,1.737744927406311,0.0,,,,,,
150000,,,,,,,,,,3000,50.0,122,1229,20.68721709,0.0
175000,0.02285771258175373,174899,22.221135928194272,-67.79339599609375,0.7836117744445801,0.0003,50.0,2.0006024837493896,0.0,,,,,,
175000,,,,,,,,,,3500,50.0,121,1435,19.08998237,0.0
200000,0.022023316472768784,199899,24.9998159736587,-63.308048248291016,-0.2481800764799118,0.0003,50.0,2.116237163543701,0.01,,,,,,
200000,,,,,,,,,,4000,50.0,121,1641,19.252249359999997,0.0
225000,0.02305321767926216,224899,23.62395336471527,-63.48811340332031,0.6183318495750427,0.0003,50.0,2.132901906967163,0.0,,,,,,
225000,,,,,,,,,,4500,50.0,121,1847,16.86101415,0.009999999776482582
250000,0.02237284928560257,249899,23.308088116977014,-62.5258903503418,1.2422977685928345,0.0003,50.0,2.277604341506958,0.0,,,,,,
250000,,,,,,,,,,5000,50.0,121,2053,26.15256363,0.0
275000,0.02180882915854454,274899,21.976047584154003,-56.06898880004883,-0.7654026746749878,0.0003,50.0,2.888713836669922,0.0,,,,,,
275000,,,,,,,,,,5500,50.0,121,2261,21.46145367,0.009999999776482582
300000,0.02157594822347164,299899,25.723502099092585,-53.97059631347656,-0.6608723998069763,0.0003,50.0,2.672222852706909,0.0,,,,,,
300000,,,,,,,,,,6000,50.0,121,2469,18.012891350000004,0.0
325000,0.020517749711871147,324899,23.71263876212135,-50.698509216308594,-0.2160801887512207,0.0003,50.0,3.6887035369873047,0.0,,,,,,
325000,,,,,,,,,,6500,50.0,121,2675,27.98793439,0.009999999776482582
350000,0.01958945207297802,349899,30.96065740042046,-49.852516174316406,0.053200364112854004,0.0003,50.0,2.4844813346862793,0.0,,,,,,
350000,,,,,,,,,,7000,50.0,121,2882,32.28183738,0.009999999776482582
375000,0.019152037799358368,374899,28.792104853344934,-51.55622482299805,-2.499851703643799,0.0003,50.0,2.3617095947265625,0.01,,,,,,
375000,,,,,,,,,,7500,50.0,121,3088,27.349922149999998,0.009999999776482582
400000,0.018584225326776505,399899,35.97858487835969,-50.845027923583984,-0.5735218524932861,0.0003,50.0,2.463003158569336,0.01,,,,,,
400000,,,,,,,,,,8000,50.0,121,3294,32.668269040000006,0.009999999776482582
425000,0.018150605261325836,424899,26.21294526624697,-48.62156677246094,1.9938422441482544,0.0003,50.0,3.3445754051208496,0.0,,,,,,
425000,,,,,,,,,,8500,50.0,121,3501,27.279542789999997,0.0
450000,0.018167421221733093,449899,25.20913197801012,-52.19941329956055,-0.46300047636032104,0.0003,50.0,2.781092643737793,0.0,,,,,,
450000,,,,,,,,,,9000,50.0,121,3709,29.7494654,0.009999999776482582
475000,0.017350194975733757,474899,32.474245601685546,-50.9652099609375,0.9835870265960693,0.0003,50.0,2.349717855453491,0.0,,,,,,
475000,,,,,,,,,,9500,50.0,121,3915,32.902162909999994,0.009999999776482582
500000,0.01696092262864113,499899,20.780442777947172,-50.405418395996094,2.0558061599731445,0.0003,50.0,2.445338010787964,0.0,,,,,,
500000,,,,,,,,,,10000,50.0,121,4122,29.8156044,0.0
525000,0.016565030440688133,524899,37.3678552526905,-51.53894805908203,-0.3886372447013855,0.0003,50.0,2.215817928314209,0.02,,,,,,
525000,,,,,,,,,,10500,50.0,121,4330,38.16064129,0.009999999776482582
550000,0.01623493619263172,549899,36.34283187733497,-52.65711212158203,-1.7972862720489502,0.0003,50.0,2.315617799758911,0.03,,,,,,
550000,,,,,,,,,,11000,50.0,121,4534,36.05437833,0.0
575000,0.015866167843341827,574899,33.57647420582012,-52.54733657836914,-1.6172627210617065,0.0003,50.0,1.8059848546981812,0.01,,,,,,
575000,,,,,,,,,,11500,50.0,121,4741,38.36455659,0.029999999329447746
600000,0.015339394100010395,599899,40.011605265904215,-53.126033782958984,0.12482941150665283,0.0003,50.0,1.9448606967926025,0.02,,,,,,
600000,,,,,,,,,,12000,50.0,121,4947,36.10349237,0.009999999776482582
625000,0.014783615246415138,624899,42.031915580954085,-53.934600830078125,0.27160078287124634,0.0003,50.0,2.0888218879699707,0.01,,,,,,
625000,,,,,,,,,,12500,50.0,121,5152,38.68716072,0.009999999776482582
650000,0.014940856955945492,649899,37.83492541639018,-55.598365783691406,1.2205486297607422,0.0003,50.0,2.9006245136260986,0.05,,,,,,
650000,,,,,,,,,,13000,50.0,121,5357,40.314700099999996,0.03999999910593033
675000,0.014255877584218979,674899,42.971315843351185,-58.0148811340332,-1.8551068305969238,0.0003,50.0,1.6916308403015137,0.05,,,,,,
675000,,,,,,,,,,13500,50.0,121,5563,41.772968230000004,0.019999999552965164
700000,0.014118906110525131,699899,40.44782848990988,-60.206520080566406,-0.26541006565093994,0.0003,50.0,1.935789942741394,0.02,,,,,,
700000,,,,,,,,,,14000,50.0,121,5770,44.38149514,0.029999999329447746
725000,0.014210859313607216,724899,47.74366076396778,-61.13791275024414,5.496173858642578,0.0003,50.0,2.0875768661499023,0.1,,,,,,
725000,,,,,,,,,,14500,50.0,121,5978,48.11612040999999,0.009999999776482582
750000,0.014168226160109043,749899,37.80046133760712,-65.60917663574219,1.478092908859253,0.0003,50.0,1.9809534549713135,0.07,,,,,,
750000,,,,,,,,,,15000,50.0,121,6185,46.43521650999999,0.019999999552965164
775000,0.01374482735991478,774899,46.42833238551859,-66.36671447753906,-0.5819482803344727,0.0003,50.0,1.560558557510376,0.06,,,,,,
775000,,,,,,,,,,15500,50.0,121,6391,49.30592665,0.03999999910593033
800000,0.01370298583060503,799899,49.78221632784233,-70.80091857910156,-2.439487934112549,0.0003,50.0,1.5820215940475464,0.07,,,,,,
800000,,,,,,,,,,16000,50.0,121,6597,48.687853399999995,0.07000000029802322
825000,0.013389922678470612,824899,50.3109345545806,-67.51420593261719,2.0665841102600098,0.0003,50.0,1.8844037055969238,0.04,,,,,,
825000,,,,,,,,,,16500,50.0,121,6799,50.030188029999984,0.10999999940395355
850000,0.012990445829927921,849899,50.73102893354371,-73.35340881347656,-1.1913597583770752,0.0003,50.0,1.7823342084884644,0.06,,,,,,
850000,,,,,,,,,,17000,50.0,121,6999,51.06118225,0.03999999910593033
875000,0.013116220012307167,874899,53.380838071256875,-75.27063751220703,-1.921432375907898,0.0003,50.0,1.4542310237884521,0.14,,,,,,
875000,,,,,,,,,,17500,50.0,121,7200,51.227104540000006,0.09000000357627869
900000,0.013306314125657082,899899,52.705672959287185,-75.34866333007812,-0.8124793767929077,0.0003,50.0,1.4356520175933838,0.12,,,,,,
900000,,,,,,,,,,18000,50.0,121,7402,50.26637363,0.12999999523162842
925000,0.013042526319622993,924899,54.645263683348894,-78.00985717773438,-0.9633772969245911,0.0003,50.0,1.6845529079437256,0.18,,,,,,
925000,,,,,,,,,,18500,50.0,121,7602,52.04218139999999,0.10999999940395355
950000,0.013068249449133873,949899,55.7022732822597,-78.80982208251953,-1.4696149826049805,0.0003,50.0,1.321083903312683,0.21,,,,,,
950000,,,,,,,,,,19000,50.0,121,7804,54.560300860000005,0.05000000074505806
975000,0.012390363961458206,974899,53.00381744248793,-79.66668701171875,-2.254995346069336,0.0003,50.0,1.347267985343933,0.07,,,,,,
975000,,,,,,,,,,19500,50.0,121,8004,52.81735707,0.10999999940395355
1000000,0.012227900326251984,999899,52.67674627069151,-77.50379943847656,-1.3630808591842651,0.0003,50.0,1.2273914813995361,0.14,,,,,,
1000000,,,,,,,,,,20000,50.0,121,8206,54.09983675,0.07999999821186066
1025000,0.012230581603944302,1024899,54.19405981140677,-81.25765991210938,0.8787602782249451,0.0003,50.0,1.530522346496582,0.12,,,,,,
1025000,,,,,,,,,,20500,50.0,121,8408,52.91624586999999,0.10000000149011612
1050000,0.012099647894501686,1049899,54.570644068922846,-84.98997497558594,0.49856454133987427,0.0003,50.0,1.4415407180786133,0.2,,,,,,
1050000,,,,,,,,,,21000,50.0,121,8608,54.54951177,0.15000000596046448
