train/n_updates,train/learning_rate,train/ent_coef,eval/mean_reward,time/total_timesteps,train/ent_coef_loss,train/critic_loss,eval/mean_ep_length,train/actor_loss,eval/success_rate,time/fps,time/episodes,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,rollout/ep_rew_mean
24899,0.0003,0.014960412867367268,1.0146619023763923,25000,1.415454387664795,0.13972319662570953,50.0,-45.505516052246094,0.0,,,,,,
,,,,25000,,,,,,92,500,50.0,0.0,271,1.8398897199999995
49899,0.0003,0.016627095639705658,2.672994474270381,50000,0.9506071209907532,0.30838727951049805,50.0,-49.12773132324219,0.0,,,,,,
,,,,50000,,,,,,91,1000,50.0,0.009999999776482582,545,5.654792560000001
74899,0.0003,0.018684733659029007,5.123673840342072,75000,0.9932247996330261,0.7719248533248901,50.0,-52.17897415161133,0.0,,,,,,
,,,,75000,,,,,,91,1500,50.0,0.009999999776482582,820,8.99571264
99899,0.0003,0.021381758153438568,-1.7855238436030414,100000,-0.450505793094635,1.0381388664245605,50.0,-52.04832458496094,0.0,,,,,,
,,,,100000,,,,,,91,2000,50.0,0.0,1094,7.66896649
124899,0.0003,0.02163013629615307,-0.9958852992078755,125000,-1.1332485675811768,1.3364934921264648,50.0,-49.1436767578125,0.0,,,,,,
,,,,125000,,,,,,91,2500,50.0,0.0,1372,2.0421304899999995
149899,0.0003,0.020575713366270065,-12.386090186230359,150000,-0.5127482414245605,1.8513524532318115,50.0,-45.53876876831055,0.01,,,,,,
,,,,150000,,,,,,90,3000,50.0,0.0,1650,4.14635361
174899,0.0003,0.02089565247297287,5.568053380225392,175000,-1.0202022790908813,2.058288097381592,50.0,-39.0992317199707,0.0,,,,,,
,,,,175000,,,,,,90,3500,50.0,0.0,1929,1.9623614700000005
199899,0.0003,0.020445041358470917,5.908075958799891,200000,0.2161959409713745,1.9649584293365479,50.0,-34.9027099609375,0.0,,,,,,
,,,,200000,,,,,,90,4000,50.0,0.0,2207,7.76730077
224899,0.0003,0.02106517367064953,6.947828179349017,225000,-0.6543958187103271,2.591022253036499,50.0,-32.75285339355469,0.0,,,,,,
,,,,225000,,,,,,90,4500,50.0,0.0,2487,4.3061598199999995
249899,0.0003,0.021943973377346992,8.23041364787743,250000,0.30221912264823914,2.5993382930755615,50.0,-28.351566314697266,0.0,,,,,,
,,,,250000,,,,,,90,5000,50.0,0.0,2760,7.840386550000001
274899,0.0003,0.021323690190911293,4.34428497184801,275000,2.237061023712158,1.9883760213851929,50.0,-25.947219848632812,0.0,,,,,,
,,,,275000,,,,,,90,5500,50.0,0.009999999776482582,3035,7.292988999999999
299899,0.0003,0.019785065203905106,8.784652037027408,300000,-1.0431349277496338,1.8908522129058838,50.0,-26.225553512573242,0.0,,,,,,
,,,,300000,,,,,,90,6000,50.0,0.009999999776482582,3314,11.834127
324899,0.0003,0.019010009244084358,9.771075989201782,325000,0.3155677318572998,2.307952642440796,50.0,-21.341482162475586,0.0,,,,,,
,,,,325000,,,,,,90,6500,50.0,0.0,3593,7.40468087
349899,0.0003,0.018640033900737762,-0.7407008296623826,350000,-0.9777382612228394,2.7991890907287598,50.0,-20.080249786376953,0.0,,,,,,
,,,,350000,,,,,,90,7000,50.0,0.0,3871,13.26891717
374899,0.0003,0.01898033730685711,10.27650859639165,375000,0.11904028058052063,2.5481185913085938,50.0,-17.793872833251953,0.0,,,,,,
,,,,375000,,,,,,90,7500,50.0,0.0,4151,9.43106224
399899,0.0003,0.017961185425519943,11.164749991041317,400000,-1.5722379684448242,2.5529069900512695,50.0,-15.856050491333008,0.0,,,,,,
,,,,400000,,,,,,90,8000,50.0,0.0,4433,8.161559259999999
424899,0.0003,0.0176773089915514,9.030874403359485,425000,0.8065561056137085,2.880157470703125,50.0,-15.91610336303711,0.02,,,,,,
,,,,425000,,,,,,90,8500,50.0,0.0,4708,17.36416348
449899,0.0003,0.01755855791270733,10.681629841413887,450000,0.7523012161254883,2.5841240882873535,50.0,-15.898418426513672,0.01,,,,,,
,,,,450000,,,,,,90,9000,50.0,0.0,4985,10.55111739
474899,0.0003,0.016909120604395866,10.070681444234687,475000,0.5822731256484985,2.7125914096832275,50.0,-15.224187850952148,0.01,,,,,,
,,,,475000,,,,,,90,9500,50.0,0.0,5266,9.885830630000001
499899,0.0003,0.01694401167333126,14.672967890553409,500000,-1.197744369506836,2.915130615234375,50.0,-14.579519271850586,0.0,,,,,,
,,,,500000,,,,,,90,10000,50.0,0.0,5548,10.705106419999998
524899,0.0003,0.017317356541752815,12.313885408561909,525000,1.410264253616333,2.542393207550049,50.0,-15.217092514038086,0.02,,,,,,
,,,,525000,,,,,,90,10500,50.0,0.0,5827,14.08654423
549899,0.0003,0.016462216153740883,18.206677221774008,550000,-0.39362210035324097,2.415532350540161,50.0,-15.381631851196289,0.01,,,,,,
,,,,550000,,,,,,90,11000,50.0,0.019999999552965164,6110,16.39935168
574899,0.0003,0.016297748312354088,18.15168559219106,575000,-2.062046527862549,2.83022403717041,50.0,-13.456469535827637,0.0,,,,,,
,,,,575000,,,,,,89,11500,50.0,0.009999999776482582,6395,14.934226830000002
599899,0.0003,0.015265623107552528,15.930656788010092,600000,1.129416584968567,2.4147891998291016,50.0,-14.237007141113281,0.0,,,,,,
,,,,600000,,,,,,89,12000,50.0,0.019999999552965164,6678,12.456501809999999
624899,0.0003,0.015542020089924335,17.97697052787844,625000,-0.14101505279541016,2.3951382637023926,50.0,-14.824539184570312,0.01,,,,,,
,,,,625000,,,,,,89,12500,50.0,0.009999999776482582,6960,17.090583430000002
649899,0.0003,0.015193033963441849,20.245187405391725,650000,-0.03359842300415039,3.012206554412842,50.0,-13.308544158935547,0.0,,,,,,
,,,,650000,,,,,,89,13000,50.0,0.0,7242,14.736919899999998
674899,0.0003,0.015309733338654041,18.277662508779468,675000,-2.169156074523926,2.666717052459717,50.0,-15.955619812011719,0.02,,,,,,
,,,,675000,,,,,,89,13500,50.0,0.0,7530,20.365506300000003
699899,0.0003,0.015032886527478695,11.00486904771842,700000,-1.2463369369506836,2.1316661834716797,50.0,-14.508858680725098,0.02,,,,,,
,,,,700000,,,,,,89,14000,50.0,0.0,7812,20.399290399999998
724899,0.0003,0.015156802721321583,20.933182547475443,725000,1.8342406749725342,2.2491824626922607,50.0,-14.934207916259766,0.02,,,,,,
,,,,725000,,,,,,89,14500,50.0,0.0,8096,25.052206289999994
749899,0.0003,0.015368855558335781,22.05447408862994,750000,-0.05935871601104736,2.3029356002807617,50.0,-17.589244842529297,0.03,,,,,,
,,,,750000,,,,,,89,15000,50.0,0.03999999910593033,8376,24.52424551
774899,0.0003,0.015093379653990269,23.774646473591275,775000,-1.0679199695587158,2.6089792251586914,50.0,-19.558706283569336,0.0,,,,,,
,,,,775000,,,,,,89,15500,50.0,0.05000000074505806,8662,23.642967860000002
799899,0.0003,0.014689791947603226,24.47064594724332,800000,-1.2193241119384766,2.262505531311035,50.0,-20.61324691772461,0.03,,,,,,
,,,,800000,,,,,,89,16000,50.0,0.05999999865889549,8943,29.2192934
824899,0.0003,0.014974644407629967,32.17400123209693,825000,-1.2133008241653442,2.3626885414123535,50.0,-21.45724868774414,0.1,,,,,,
,,,,825000,,,,,,89,16500,50.0,0.05000000074505806,9224,27.566645550000004
849899,0.0003,0.014736853539943695,27.535004897917023,850000,-1.7303569316864014,1.8470919132232666,50.0,-25.494796752929688,0.01,,,,,,
,,,,850000,,,,,,89,17000,50.0,0.05000000074505806,9506,28.06340479
874899,0.0003,0.014800818637013435,28.878020091489887,875000,0.6185425519943237,1.9376126527786255,50.0,-27.990100860595703,0.05,,,,,,
,,,,875000,,,,,,89,17500,50.0,0.019999999552965164,9788,27.87843013
899899,0.0003,0.014159129001200199,27.217056502520574,900000,-1.0125092267990112,1.9473206996917725,50.0,-29.14885902404785,0.08,,,,,,
,,,,900000,,,,,,89,18000,50.0,0.07999999821186066,10070,29.73127226
924899,0.0003,0.013341777957975864,28.581966899038527,925000,-0.11071263253688812,2.1405930519104004,50.0,-29.801624298095703,0.06,,,,,,
,,,,925000,,,,,,89,18500,50.0,0.05999999865889549,10351,26.404084730000005
949899,0.0003,0.01352600660175085,26.140411432734837,950000,-0.08497536182403564,2.162811279296875,50.0,-29.968950271606445,0.06,,,,,,
,,,,950000,,,,,,89,19000,50.0,0.05000000074505806,10636,31.927651579999996
974899,0.0003,0.014024096541106701,35.969738169679474,975000,-0.896356463432312,1.8360145092010498,50.0,-31.19471549987793,0.11,,,,,,
,,,,975000,,,,,,89,19500,50.0,0.11999999731779099,10916,31.755526010000004
999899,0.0003,0.01358784455806017,34.263152375675276,1000000,0.4835693836212158,1.6729438304901123,50.0,-34.06103515625,0.05,,,,,,
,,,,1000000,,,,,,89,20000,50.0,0.07000000029802322,11194,33.26863289
1024899,0.0003,0.013509659096598625,32.52993499291711,1025000,1.9139375686645508,1.5960197448730469,50.0,-36.76172637939453,0.14,,,,,,
,,,,1025000,,,,,,89,20500,50.0,0.10000000149011612,11474,35.27899156000001
1049899,0.0003,0.01349553931504488,31.315978995117476,1050000,2.542849063873291,1.675033450126648,50.0,-37.83114242553711,0.05,,,,,,
,,,,1050000,,,,,,89,21000,50.0,0.10999999940395355,11751,31.699548439999997
1074899,0.0003,0.013584332540631294,36.10046928101714,1075000,0.25678256154060364,1.555836796760559,50.0,-40.23273468017578,0.16,,,,,,
,,,,1075000,,,,,,89,21500,50.0,0.15000000596046448,12033,34.96126365
1099899,0.0003,0.012862259522080421,29.91744469009269,1100000,1.8992130756378174,1.5871007442474365,50.0,-43.832763671875,0.11,,,,,,
,,,,1100000,,,,,,89,22000,50.0,0.1599999964237213,12316,35.36858847
1124899,0.0003,0.012290875427424908,30.774716843421558,1125000,1.3268966674804688,1.7117538452148438,50.0,-45.24205017089844,0.09,,,,,,
,,,,1125000,,,,,,89,22500,50.0,0.15000000596046448,12598,37.070412770000004
1149899,0.0003,0.012469977140426636,29.26673451102106,1150000,-1.0552767515182495,1.069250464439392,50.0,-47.41114044189453,0.07,,,,,,
,,,,1150000,,,,,,89,23000,50.0,0.15000000596046448,12877,36.31390536000001
1174899,0.0003,0.012320502661168575,36.376469646195766,1175000,1.4896605014801025,1.4641720056533813,50.0,-47.77094268798828,0.21,,,,,,
,,,,1175000,,,,,,89,23500,50.0,0.15000000596046448,13160,36.073790179999996
1199899,0.0003,0.011503662914037704,29.101952332034706,1200000,0.1642615795135498,1.0738458633422852,50.0,-48.896907806396484,0.08,,,,,,
,,,,1200000,,,,,,89,24000,50.0,0.1599999964237213,13441,35.33875035999999
1224899,0.0003,0.011586862616240978,35.500112057530785,1225000,0.10840064287185669,1.0568299293518066,50.0,-49.93795394897461,0.17,,,,,,
,,,,1225000,,,,,,89,24500,50.0,0.07999999821186066,13723,31.085591469999994
1249899,0.0003,0.011320741847157478,36.14825431546196,1250000,2.256941318511963,1.128647804260254,50.0,-52.36980056762695,0.13,,,,,,
,,,,1250000,,,,,,89,25000,50.0,0.15000000596046448,14002,35.45863790000001
1274899,0.0003,0.010972867719829082,36.82071632813066,1275000,1.4121699333190918,1.058390498161316,50.0,-55.08890914916992,0.19,,,,,,
,,,,1275000,,,,,,89,25500,50.0,0.2199999988079071,14283,39.26063943
1299899,0.0003,0.010973156429827213,40.68974451048183,1300000,1.5860300064086914,1.0822570323944092,50.0,-55.13849639892578,0.28,,,,,,
,,,,1300000,,,,,,89,26000,50.0,0.23000000417232513,14559,39.309452529999994
1324899,0.0003,0.01068944577127695,37.99906837983988,1325000,-0.7778651714324951,1.0351829528808594,50.0,-56.70978546142578,0.2,,,,,,
,,,,1325000,,,,,,89,26500,50.0,0.20999999344348907,14837,39.42277754
1349899,0.0003,0.010894320905208588,37.6612427733629,1350000,-0.2374662160873413,1.0611287355422974,50.0,-56.70716094970703,0.22,,,,,,
,,,,1350000,,,,,,89,27000,50.0,0.2800000011920929,15113,35.73473405
1374899,0.0003,0.010739898309111595,41.98583080629382,1375000,0.4040564298629761,0.8168811798095703,50.0,-59.9589958190918,0.39,,,,,,
,,,,1375000,,,,,,89,27500,50.0,0.11999999731779099,15390,33.02418891
1399899,0.0003,0.010391230694949627,42.91540035051526,1400000,2.0584487915039062,1.042476773262024,50.0,-59.580780029296875,0.35,,,,,,
,,,,1400000,,,,,,89,28000,50.0,0.1599999964237213,15667,29.551600020000002
1424899,0.0003,0.010439679026603699,47.409540740563536,1425000,-1.6067136526107788,0.8806042671203613,50.0,-60.342926025390625,0.53,,,,,,
,,,,1425000,,,,,,89,28500,50.0,0.41999998688697815,15945,42.92640555
1449899,0.0003,0.010852779261767864,45.254621892238795,1450000,-0.9687157869338989,0.769216775894165,50.0,-63.39372253417969,0.5,,,,,,
,,,,1450000,,,,,,89,29000,50.0,0.36000001430511475,16225,43.158797529999994
1474899,0.0003,0.010774609632790089,48.119284882117064,1475000,-0.08397632837295532,0.9113473892211914,50.0,-64.17928314208984,0.56,,,,,,
,,,,1475000,,,,,,89,29500,50.0,0.3799999952316284,16500,40.07898811
1499899,0.0003,0.010509680025279522,47.389582877997306,1500000,2.0037059783935547,0.9267734289169312,50.0,-68.65338897705078,0.54,,,,,,
,,,,1500000,,,,,,89,30000,50.0,0.3499999940395355,16776,42.93638532
1524899,0.0003,0.010581482201814651,50.79263653735863,1525000,0.7649608850479126,0.8526142835617065,50.0,-68.67210388183594,0.62,,,,,,
,,,,1525000,,,,,,89,30500,50.0,0.47999998927116394,17052,47.447152300000006
1549899,0.0003,0.010861078277230263,51.167603951791534,1550000,1.1893575191497803,0.7317664623260498,50.0,-71.25422668457031,0.66,,,,,,
,,,,1550000,,,,,,89,31000,50.0,0.5699999928474426,17329,48.64605340000001
1574899,0.0003,0.010848790407180786,51.66922337906435,1575000,0.06929349899291992,1.0075080394744873,50.0,-72.50019836425781,0.66,,,,,,
,,,,1575000,,,,,,89,31500,50.0,0.6200000047683716,17605,50.10261376
1599899,0.0003,0.010654500685632229,53.032064048619944,1600000,-0.8022897839546204,0.8547015190124512,50.0,-75.98221588134766,0.72,,,,,,
,,,,1600000,,,,,,89,32000,50.0,0.5899999737739563,17885,51.15820736
